title,label,text_new
"Syria fighting worst since Aleppo, air strikes deadly: aid agencies",0,"GENEVA Reuters Syria throe bad fighting battle eastern Aleppo year heavy air strike cause hundred civilian casualty aid agency say Thursday hospital school people flee violence   target direct air strike   war crime United Nations say apportion blame Russia U.S.-led coalition carry separate air strike Syria ostensibly aim defeat Islamic State militant    September deadly month 2017 civilian daily report attack residential area result hundred conflict relate death injury   U.N. regional humanitarian coordinator Panos Moumtzis say statement air strike kill dozen week Raqqa 8,000 people remain trapped 149 people woman child residential area rebel dominate Idlib province Syria s northwest 12 day September say explosion Damascus kill 20 people civilian casualty report rural area syrian capital Hama Aleppo Deir al Zor Moumtzis say say responsible International Committee Red Cross ICRC say statement 10 hospital report damage past 10 day    see number hospital target get worrying report converge report hospital school civilian infrastructure target   Robert Mardini ICRC regional director Middle East tell Reuters interview Geneva office   course outrageous unacceptable   say add damage Sham hospital Idlib cut half million people access health care ICRC voice alarm violence occur   de escalation   area include Idlib rural Hama eastern Ghouta   take bad level violence battle Aleppo 2016   say   hundred civilian kill certainly conservative figure   Mardini say   strong correlation escalation intensification fighting hand human cost conflict attack health facility civilian infrastructure   Syria s year old civil war pit President Bashar al Assad s government support Russia Iran myriad number rebel faction western back islamist militant group military jet believe russian kill 60 civilian try flee heavy fighting oil rich Deir al Zor province small boat target seek cross Euphrates River opposition activist resident war monitor say late Wednesday U.S.-led coalition fight Islamic State Syria carry air strike cause civilian casualty say go great length avoid   point point finger   Mardini say decline identify suspect perpetrator deadly strike   non negotiable respect law war Syria absolutely critical today   "
FEDERAL JUDGE Just Delivered Bad News to Hillary Clinton About the Missing Benghazi Emails,1,"great news federal judge order State Department attempt locate Hillary Clinton s miss email 2012 Benghazi terrorist attack interesting thing judge Obama appointee rule Judicial Watch DIDN T .U.S. District Court Judge Amit Mehta rule Tuesday State Department   track message Clinton send assault U.S. diplomatic compound Sept. 11 2012    attack kill Americans include U.S. ambassador Libya   Politico report response Freedom Information Act FOIA request State search roughly 30,000 message Clinton turn agency request December 2014 official search Benghazi relate record realize personal email account year tenure secretary state later search ten thousand email hand agency aide Clinton Huma Abedin Cheryl Mills Jake Sullivan finally State search collection email FBI assemble investigate Clinton s use private account server State find 348 Benghazi relate message document send Clinton period nearly month attack Judicial Watch conservative watchdog group say State Department s initial search good didn t search email account Clinton s aide relevant message pertain Benghazi Mehta appointee President Barack Obama agree Judicial Watch 10 page ruling date State search datum compilation originate outside source    Secretary Clinton aide FBI    search record system control certain contain responsive record state.gov e mail server   Mehta write"
ARMY THREATENS GREEN BERET WAR HERO WITH COURT MARTIAL For Whistleblowing On Failed Hostage Rescue,1,Army t bother defend protect war hero busy pressing issue like ensure gay free come closet remove trace Christianity military basis Green Beret war hero investigation unauthorized communication Congress testify Thursday Army court martial criminal charge Rep. Duncan Hunter lawmaker soldier speak Obama administration hostage rescue policy ask Pentagon inspector general investigate Army spring allegation personnel Green Beret pure retaliation Lt Col Jason Amerine Special Forces soldier testify Senate Committee Homeland Security Governmental Affairs consider reprisal whistleblower protect disclosure Congress Army suspend clearance remove job launch criminal investigation delete retirement order view court martial exercise constitutional right   say Col Amerine accord partial remark provide Washington Times Mr. Hunter s office nearly month receive relief military transparency investigation pay stop briefly Army delete retirement order Mr. Hunter California Republican member House Armed Services Committee write Jon T. Rymer inspector general soldier believe Army Secretary John McHugh retaliate ask IG investigation Mr. McHugh s use Criminal Investigation Command specifically concern Army    leadership Secretary Army    CID purpose influence action outcome retaliate soldier   write cite soldier   Col Amerine officer work small Army unit Pentagon devote develop policy gain release Americans hold islamic extremist come believe administration s hostage policy disarray tell Mr. Hunter congressman propose legislation create hostage coordinator work agency involve FBI Pentagon State Department   Maj Matt Golsteyn Green Beret Maj Golsteyn see valor award Special Forces tab strip Secretary McHugh officer accuse kill Taliban bomb maker officially charge face board inquiry hearing   Sgt Class Earl Plumlee Sgt Plumlee nominate Medal Honor nation s high military award repel attack base Afghanistan save life MOH endorse commander include Marine Gen. Joseph Dunford chairman Joint Chiefs Staff Mr. McHugh downgrade award Silver Star Mr. Hunter say base   questionable CID investigation Col Amerine file whistleblower retaliation complaint IG Army probe begin FBI complain Col Amerine provide information Congress personally meet Federal Bureau Investigation development lead Army investigation   Mr. Hunter tell Mr. Rymer   investigation firmly believe warrant continue unjustifiably delay Col Amerine hold special place history Afghanistan war lead joint Green Beret afghan team 2001 invasion fight Hamid Karzai future president Army spokesman say   matter policy confirm name individual investigation protect integrity possible ongoing investigation privacy right involve note law Army policy prohibit initiate investigation base solely soldier s protect communication Washington Times
BIKERS FOR TRUMP Will Travel To Future Rallies To “Provide Outside Security” Against Paid Soros Thugs For Hillary And Bernie Sanders,1,"Americans know come anarchist whiny petulant college student well angry BLM protester meet group doesn t care feeling political correctness large percentage biker belong group veteran fight nation step aside allow billionaire communist support woman investigation FBI leave brother die Benghazi away right Americans attend political rally candidate support s military tradition sort run decade wake World War II generation troop return home combat veteran country find certain pleasure purpose newly evolve piece gear d friendly downrange motorcycle new   motorcycle club   spring fill void camaraderie brotherhood    mention adrenaline adventure    find crave end military service call   outlaw     criminal refuse box rule regulation fledgling American Motorcycle Association combat motorcycle outlaw come   say Don Charles Davis write Aging Rebel biker news blog Los Angeles   club like Boozefighters Outlaws invent transform veteran cheap Army surplus bike club particular draw inspiration 3rd Pursuit Squadron Flying Tigers american volunteer fly combat mission Japanese China squadron well know flier   Hells Angels wave motorcycle club membership Davis say second surge II Corps artilleryman arise wake Vietnam like war fighter return home largely hostile nation find family biker s club Mongols Devils Disciples    name George Bernard Shaw play Revolutionary War patriot Ethan Allen Davis say    Bandidos get start largely fuel return veteran new generation currently serve troop veteran pour old club start group Military TimesMeanwhile Donald Trump end vacation rally critical state Wisconsin tomorrow 11am event sell violent protest organize cause mayhem havoc Arizona Illinois.[quote_box_center]From TRUMP patriot Facebook page Patriotic Bikers United States plan future TRUMP rally sure pay agitator protester don t away Mr. Trump s right speak interfere right Trump supporter safely attend shall silenced!to PAID   PROTESTORS plan cause chaos violence anarchy riot trump rally private pay event private property Trump Secret Service protection want peacefully assemble street Trumps rally protest 1st amendment right publicly plan incite organize event pay agitator disrupt civil right attend private event likely end bad despite media attempt cheerleaders.[/quote_box_center]janesville Nichole Mittness think 100 people respond Facebook page invite protest Donald Trump s Janesville appearance midday Saturday 1,200 pledge Mittness figure mean 1,000 Tuesday s overwhelming anticipate kind response   Mittness say Mittness work peaceful protest doesn t interfere Trump event Janesville police prepare possibility Janesville Police Chief Dave Moore say Friday didn t know officer assisgne department reach police agency Rock County include sheriff s office State Patrol DNR Dane County Sheriff s Office joint Beloit Janesville Rock County sheriff s   mobile field force   specialize crowd control Moore say Moore note Janesville Conference Center hold 1,000 say expect   substantial number people   outside Trump s event schedule 3 p.m. local protest slate begin 11 a.m. Police respect constitutional right freedom speech   degree possible intend allow citizen voice opinion require peaceful safe manner   Moore say inside Janesville Conference Center Holiday Inn Express different story Moore say Holiday Inn Trump s people U.S. Secret Service want disrupter remove   private property s right   Moore say Prntly"
Macron determined to engage Germany in debate on Europe reforms,0,FRANKFURT Reuters french President Emmanuel Macron say Tuesday determined engage Germany debate want push forward european reform despite cool initial response Chancellor Angela Merkel   believe vision shouldn t doctor open debate   Macron say Frankfurt meet Merkel attend opening annual book fair Macron s visit Germany Merkel narrowly win election month lose vote far right party draw support people anger influx million migrant past year 39 year old french president speech day german vote set ambitious vision Europe call tight cooperation defense immigration common euro zone budget Merkel begin promise difficult talk build new coalition government caution reform euro zone priority debate inclusive Macron take panel discussion Frankfurt s Goethe University Daniel Cohn Bendit Green politician well know role Paris student protest 1968 Gilles Kepel political scientist expert Middle East
Kerry says he accepts U.S. intelligence assessment on Russian hacking,0,WASHINGTON Reuters U.S. Secretary State John Kerry say Thursday accept U.S. intelligence assessment high level russian government responsible cyber attack 2016 U.S. presidential campaign ask news conference think russian President Vladimir Putin direct hacking Democratic National Committee Kerry say accept judgment intelligence community go high level russian government
Trump campaign criticizes Iran nuclear deal anew after Reuters report,0,WASHINGTON Reuters U.S. republican presidential nominee Donald Trump campaign criticize Iran nuclear deal Democrat Hillary Clinton support Reuters report say United States negotiate partner agree secret allow Iran evade restriction retired Lieutenant General Michael Flynn trump foreign policy adviser say statement report show President Barack Obama give away store agreement seal year deeply flawed nuclear deal Hillary Clinton secretly spearhead Iran look bad bad day statement say refer Clinton role Obama term secretary state Reuters report think tank report early Thursday base information provide official government involve negotiation
New Trump communications director promises crackdown on media leaks,0,WASHINGTON Reuters Anthony Scaramucci President Donald Trump new communication director say Sunday task halt leak staff team fire leak stop leak stop businessperson dramatic action stop leak Scaramucci say Fox News Sunday Scaramucci tell CBS face nation leaker actually un american lead team meeting Monday   hiring Scaramucci Wall Street financier republican fundraiser bring combative style White House press office President Donald Trump lash probe campaign collude Russians 2016 campaign special counsel Robert Mueller look relationship contact Trump campaign official Russia election Trump accuse wrongdoing federal investigator    White House press secretary Sean Spicer household short turbulent drama fill term quickly resign Scaramucci appointment Sarah Sanders Spicer deputy promote press secretary Scaramucci force deal leak day job Washington Post report week Trump legal team examine presidential power pardon aide family member potentially Trump write Twitter Saturday leak administration crime complete power pardon Scaramucci say Trump tweet issue pardon reaction leak Trump like fact minute conversation Oval Office study people run leak administration examine legal option pardon Scaramucci report directly Trump say CBS need pardon anybody say      Scaramucci time support Democrats spend weekend delete past tweet subject run counter Trump administration policy take action climate change explain deletion Scaramucci write Twitter past view evolve distraction       
 GOP Implodes As California Passes Bill To Make Congress Censure Trump’s Racism (DETAILS),1,month ago Donald Trump shock country respond violent white nationalist rally Charlottesville way completely vile defend white supremacist state   side   responsible violence Americans country horrified racist message come President United States area country stand California send strong message Trump administration response horrific endorsement Trump give white supremacist low house California legislature pass resolution demand Congress censure Trump undeserve POTUS clear long tolerate behavior assembly member Tony Thurmond say leader free world t continue use language legitimize action extremist group promote hate Congress exercise power check president vote immediate censure GOP dominant Congress likely win t censure Trump initiative mark attempt censure sit President 1834    send strong message Hill report California try state join similar way demand Trump   publicly apologize Americans racist bigoted behavior bill follow Trump s resolution try condemn attack Charlottesville continue fall short weak statement refuse denounce specific hate group responsible Trump instead speak racism form   s Trump s weak spineless statement condemn recent violence Charlottesville oppose hatred bigotry racism form hour Trump double horrendous   side   comment state counterprotester blame pretty bad dude look s happen Charlottesville lot people say people actually write   Gee Trump point seriously disgusting statement Trump deserve treatment s get California feature image Win McNamee Getty Images
Somebody Kept Driving Over This Trump Supporter’s Sign. The Trump Supporter Got Revenge. It’s Awesome.,1,Detroit Michigan woman tweet feel good moment day comment article Facebook Account comment article Disqus Account follow Facebook
 DNC Chair Speaks Out On Revolting Trump Tape: ‘This Is Who Donald Trump Truly Is’ (VIDEO),1,Interim Democratic National Committee Chairwoman Donna Brazile crystal clear think Donald Trump bombshell tape show boast sexual assault   Donald Trump truly interview ABC s week Brazile tell George Stephanopoulos Trump person today 2005 appalling tape record draw straight line Donald Trump say 2005 s say day campaign trail year half   say Sunday   changed man Donald Trump truly DNC chair list previous offensive remark Trump campaign trail point example confirm Trump change revolt human criticize judge simply mexican heritage woman disgusting thing criticize John McCain criticize people disabled Donald Trump truly Brazile doesn t surprised new tape past accuse rape 13 year old child Trump brag grab woman   p*ssy   exactly kind thing expect come mouth   surprising Republicans turn blind eye past year finally   disgust Trump m surprised Republicans disgust Trump thing say comment s couple year watch segment feature image video screen capture
Alabama Makes It Illegal to Remove Confederate Monuments,0,new law attempt preserve history make illegal remove monument place 40 year Alabama Memorial Preservation Act 2017 sign law Wednesday Alabama Gov. Kay Ivey R protect historical confederate monument come fire recent week democratic politician   new legislation prohibit relocation removal alteration rename disturbance architecturally significant building memorial building memorial street monument locate public property place 40 year state Sen. Gerald Allen propose bill note protect monument preserve history future generation learn Huffington Post report appreciate Gov. Ivey stand thoughtful preservation Alabama history Allen say contrary detractor Memorial Preservation Act intend preserve Alabama history good bad child grandchild learn past create well future week New Orleans Mayor Mitch Landrieu D famous Civil War era monument Robert E. Lee remove place center city famous traffic circle      place century Breitbart Texas report    man fight United States America fight warrior cause patriot Landrieu say monument celebrate fictional sanitized Confederacy February 6 City Charlottesville Virginia vote remove statue Robert E. Lee stand city park nearly century Breitbart report decision erase history city spark outrage people gather protest peacefully week eventually organization 11 local citizen come file lawsuit City Charlottesville stop removal historical confederate monument state take step preserve historical monument seek rewrite history Mississippi statue monument memorial landmark war remove public property move approve location block driver see WLBT report 2016 eBay announce prohibit sale confederate flag follow June 17 attack Emanuel African Methodist Episcopal Church craze gunman Dylann Roof confederate flag reportedly sell like crack announcement Ryan Saavedra contributor Breitbart Texas find Twitter @realsaavedra  
"In Video, Sacramento Police Appear to Try to Hit Man With Their Car Before He’s Fatally Shot - The New York Times",0,Sacramento County district attorney investigate fatal police shooting homeless black man hit 14 time encounter capture dashboard camera lead call family federal investigation murder charge file officer lawyer family man Joseph Mann early 50 say ask Justice Department investigate episode July white officer appear video try run patrol car murder John L. Burris lawyer family Mr. Mann say Monday treat person like worthless human officer investigate report July 11 armed man act erratically encounter Mr. Mann accord police statement Police dashboard video footage show chase Mr. Mann patrol car flee foot go hit officer hear say say patrol car stop officer run Mr. Mann fire dozen time accord footage later declare dead hospital video dashboard clip Police Department release Sept. 20 shooting case gain new attention audio officer remark highlight Sacramento News Review   Sacramento Bee week shooting raise question department tactic officer response appear behave erratically Mr. Mann family describe mentally ill Monday Mr. Burris say send letter urge Justice Department investigate Police Department officer use car deadly weapon want district attorney office charge officer John Tennis Randy Lozoya murder say release audio information dashboard camera update federal lawsuit file month ago allege excessive use force Shelly Orio spokeswoman district attorney office say email Monday office investigate shooting letter Mr. Burris write Officer Tennis long history disturb behavior refer episode 1997 black man Albert Thiel 35 die officer place chokehold Sacramento Police Department spokesman Officer Matthew McPhail ask telephone interview Monday officer previous discipline issue say record immediately available say officer 25 year force take patrol place modify duty cite civil suit refer question city attorney James Sanchez immediately return telephone message seek comment Monday   statement July 11 Police Department say witness report man knife say suspect firearm waistband officer arrive try situation statement say Mr. Mann throw object police vehicle follow authority say officer shout patrol car loudspeaker ground hand air stop walk drop knife Sir want hurt drop knife officer hear say dashboard video police statement say Mr. Mann reach waistband try retrieve weapon charge police vehicle knife hold head officer chase turn arm knife open fire police say Police Chief Sam Somers Jr. say news conference Sept. 20 officer fire 18 shot 14 strike Mr. Mann accord Associated Press cellphone video post Mr. Burris YouTube channel show Mr. Mann perform look like martial art move street officer ask drop knife lawyer say officer right respond Mr. Mann odd maneuver reflect person have mental emotional problem kind assessment officer say
